2021-07-06 15:07:801 INFO  Homepage :18 - getting text from [[ChromeDriver: chrome on WINDOWS (007a6be45b2aeccaf66b65a753293dd4)] -> xpath: //h1[@class = 'listing-search-title']]
2021-07-06 15:07:893 INFO  Homepage :18 - getting text from [[ChromeDriver: chrome on WINDOWS (007a6be45b2aeccaf66b65a753293dd4)] -> xpath: //h1[@class = 'listing-search-title']]
2021-07-06 15:07:04 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-06 15:07:678 INFO  Homepage :22 - Mouse Hover on buy + sell tab : [[ChromeDriver: chrome on WINDOWS (a24f01e455a7941eef98e42f982d3157)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-06 15:07:512 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-06 15:07:204 INFO  Homepage :22 - Mouse Hover on buy + sell tab : [[ChromeDriver: chrome on WINDOWS (4d4f5461c7181dc6a4ec2b854d158c24)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-06 15:07:363 INFO  Homepage :28 - Clicking on search car menu : [[ChromeDriver: chrome on WINDOWS (4d4f5461c7181dc6a4ec2b854d158c24)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-06 15:07:422 INFO  Homepage :33 - Mouse Hover on buy + sell tab : [[ChromeDriver: chrome on WINDOWS (4d4f5461c7181dc6a4ec2b854d158c24)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-06 15:07:65 INFO  Homepage :40 - Select value from make : [[ChromeDriver: chrome on WINDOWS (4d4f5461c7181dc6a4ec2b854d158c24)] -> xpath: //select[@id='makes']]
2021-07-06 15:07:645 INFO  Homepage :46 - Select value from model : [[ChromeDriver: chrome on WINDOWS (4d4f5461c7181dc6a4ec2b854d158c24)] -> xpath: //select[@id='models']]
2021-07-06 15:07:283 INFO  Homepage :52 - Select value from location : [[ChromeDriver: chrome on WINDOWS (4d4f5461c7181dc6a4ec2b854d158c24)] -> xpath: //select[@id='locations']]
2021-07-06 15:07:870 INFO  Homepage :58 - Select value from price : [[ChromeDriver: chrome on WINDOWS (4d4f5461c7181dc6a4ec2b854d158c24)] -> xpath: //select[@id='priceTo']]
2021-07-06 15:07:913 INFO  Homepage :64 - Click on Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-07-06 15:07:988 INFO  Homepage :18 - getting text from [[ChromeDriver: chrome on WINDOWS (4d4f5461c7181dc6a4ec2b854d158c24)] -> xpath: //h1[@class = 'listing-search-title']]
